canton,Acueductos,Educación,Energía,Residencial,Salud,Transporte
Abangares,56,43,0,7932,3,18
Acosta,245,57,0,9028,4,8
Alajuela,1370,106,3711,110803,32,55
Alajuelita,4237,22,2043,25233,5,8
Alvarado,0,14,0,5612,3,11
Aserrí,179,33,1212,21236,7,10
Atenas,330,24,0,11835,5,13
Bagaces,253,33,257,9154,4,10
Barva,1349,19,7313,15340,7,8
Belén,44,6,2750,7311,4,8
Buenos Aires,446,185,0,18612,9,15
Carrillo,991,35,0,17625,6,20
Cartago,516,74,239,54879,29,30
Cañas,931,38,0,9195,4,9
Corredores,2371,91,0,17602,7,14
Coto Brus,1341,115,0,17404,12,13
Curridabat,7427,15,4396,23951,9,12
Desamparados,11321,76,6293,73739,23,33
Dota,0,13,0,4067,2,4
El Guarco,4776,32,0,16573,3,8
Escazú,4685,14,5877,23349,5,11
Esparza,1231,36,0,13691,7,17
Flores,57,6,3349,7254,1,4
Garabito,775,19,0,13724,3,7
Goicoechea,10580,29,5109,41750,10,17
Golfito,1384,102,0,17509,9,15
Grecia,7,46,126,26492,13,13
Guatuso,0,56,5,7356,4,8
Guácimo,1674,58,0,18787,8,9
Heredia,13137,42,79317,46227,10,16
Hojancha,559,22,0,3687,2,7
Jiménez,0,21,0,6751,3,7
La Cruz,297,47,0,8037,5,13
La Unión,4975,28,4671,38760,15,12
León Cortés Castro,0,29,0,5503,3,6
Liberia,1076,46,0,25383,6,11
Limón,3010,140,0,36574,16,13
Los Chiles,170,80,0,10559,7,14
Matina,901,54,0,14660,9,12
Montes de Oca,6117,16,3839,19738,8,8
Montes de Oro,35,19,1,5832,1,5
Mora,1024,25,1405,13199,3,8
Moravia,5702,16,2821,23015,3,15
Nandayure,0,49,0,5379,4,21
Naranjo,1,34,0,15628,10,24
Nicoya,913,110,0,24446,13,30
Oreamuno,0,20,0,15029,5,10
Orotina,315,19,0,9757,3,9
Osa,1382,101,0,16225,10,12
Palmares,830,17,0,13674,7,10
Paraíso,1,40,0,20639,7,19
Parrita,372,45,0,9625,2,12
Pococí,2102,159,0,54911,30,31
Poás,1,20,342,11920,6,8
Puntarenas,3631,179,78,48187,25,44
Puriscal,435,73,0,14920,6,19
Pérez Zeledón,6740,244,0,60597,19,48
Quepos,1536,47,0,12739,6,14
Río Cuarto,0,22,0,4859,2,11
San Carlos,0,266,27,68630,33,65
San Isidro,3757,12,14853,8020,4,5
San José,37329,105,18389,97502,32,49
San Mateo,379,14,0,3988,2,6
San Pablo,4345,6,20871,11428,4,4
San Rafael,7511,15,34745,18966,4,6
San Ramón,1665,100,61,38561,16,30
Santa Ana,4876,18,5806,22524,6,13
Santa Bárbara,0,16,1729,13288,8,13
Santa Cruz,1563,82,0,30107,9,28
Santo Domingo,167,17,3891,15168,7,20
Sarapiquí,0,124,0,28337,13,29
Sarchí,0,18,0,7756,4,7
Siquirres,802,96,0,25383,14,17
Talamanca,219,96,0,15781,11,8
Tarrazú,0,31,0,7311,4,5
Tibás,6993,17,2878,20428,3,11
Tilarán,356,46,11,9107,5,28
Turrialba,0,157,0,29567,14,22
Turrubares,162,33,0,3760,1,15
Upala,2,132,744,20898,13,28
Vázquez de Coronado,5154,18,2956,20972,2,10
Zarcero,0,20,0,4332,3,5
